title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Oklahoma City Card Show,2026-01-10,2026-01-11,9:00 AM,4:00 PM,Oklahoma City,OK,State Fair Park,3001 General Pershing Blvd,false,$5,,Sports Cards|Trading Cards,One of Oklahoma's largest card shows held at State Fair Park in OKC.,,,150,
Tulsa Sports Card Show,2026-01-17,2026-01-18,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards,Monthly Tulsa card show with dealers from across eastern Oklahoma and Arkansas.,,,100,
Norman Card Show,2026-01-31,2026-01-31,9:00 AM,2:00 PM,Norman,OK,Lloyd Noble Center Parking,2900 Jenkins Ave,true,,,Sports Cards,Free community card show in Norman drawing OU-area collectors.,,,50,
Oklahoma City Winter Card Expo,2026-02-07,2026-02-08,9:00 AM,4:00 PM,Oklahoma City,OK,Cox Convention Center,1 Myriad Gardens,false,$5,,Sports Cards|Pokemon|Trading Cards,Winter expo at Cox Convention Center with 140+ dealer tables.,,,140,
Tulsa Card & Collectibles Show,2026-02-21,2026-02-22,9:00 AM,3:00 PM,Tulsa,OK,Tulsa Expo Center,21st & Yale,false,$4,,Sports Cards|Trading Cards,February Tulsa show with strong football and basketball card inventory.,,,100,
Lawton Card Show,2026-03-07,2026-03-07,9:00 AM,3:00 PM,Lawton,OK,Lawton-Fort Sill Regional Airport Conference Center,One Terminal Dr,false,$3,,Sports Cards,Southwest Oklahoma show serving the Lawton and Fort Sill collector community.,,,55,
Oklahoma City Spring Card Show,2026-03-14,2026-03-15,9:00 AM,4:00 PM,Oklahoma City,OK,State Fair Park,3001 General Pershing Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring State Fair Park show drawing 150+ dealers from across Oklahoma and Texas.,,,155,
Tulsa Spring Card Expo,2026-03-28,2026-03-29,9:00 AM,4:00 PM,Tulsa,OK,Tulsa Convention Center,100 Civic Center,false,$5,,Sports Cards|Trading Cards,Spring Tulsa expo at the Convention Center — one of the biggest Tulsa shows of the year.,,,130,
Broken Arrow Card Show,2026-04-11,2026-04-11,9:00 AM,2:00 PM,Broken Arrow,OK,Broken Arrow Event Center,21401 E 71st St,false,$3,,Sports Cards,Community card show in the Broken Arrow suburb of Tulsa.,,,60,
Oklahoma City Spring Spectacular,2026-04-18,2026-04-19,9:00 AM,4:00 PM,Oklahoma City,OK,Cox Convention Center,1 Myriad Gardens,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring spectacular in OKC with 140+ tables covering all major card categories.,,,145,
