title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Omaha Card Show,2026-01-10,2026-01-11,9:00 AM,4:00 PM,Omaha,NE,CHI Health Center Omaha,455 N 10th St,false,$5,,Sports Cards|Trading Cards,One of Nebraska's largest card shows held at CHI Health Center in downtown Omaha.,,,140,
Lincoln Sports Card Show,2026-01-24,2026-01-25,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards,Monthly Lincoln card show drawing dealers from eastern Nebraska.,,,90,
Omaha Winter Card Expo,2026-02-07,2026-02-08,9:00 AM,4:00 PM,Omaha,NE,Ralston Arena,7300 Q St,false,$5,,Sports Cards|Pokemon|Trading Cards,Winter Omaha expo at Ralston Arena with 130+ dealer tables.,,,130,
Lincoln Card & Collectibles Show,2026-02-21,2026-02-22,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards|Trading Cards,February Lincoln show with strong basketball and football card inventory.,,,90,
Omaha Spring Card Show,2026-03-14,2026-03-15,9:00 AM,4:00 PM,Omaha,NE,CHI Health Center Omaha,455 N 10th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring Omaha show at CHI Health Center drawing 140+ dealers from across the Plains.,,,145,
Grand Island Card Show,2026-03-28,2026-03-28,9:00 AM,2:00 PM,Grand Island,NE,Fonner Park Expo Center,700 E Stolley Park Rd,false,$3,,Sports Cards,Central Nebraska card show serving the Grand Island and Kearney collector community.,,,55,
Lincoln Spring Card Expo,2026-04-11,2026-04-12,9:00 AM,3:00 PM,Lincoln,NE,Lancaster Event Center,84th & Havelock Ave,false,$4,,Sports Cards|Pokemon,Spring Lincoln expo with strong Pokemon and modern sports card dealers.,,,95,
Omaha Spring Spectacular,2026-04-18,2026-04-19,9:00 AM,4:00 PM,Omaha,NE,Ralston Arena,7300 Q St,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring spectacular in Omaha with 130+ tables covering all major card categories.,,,135,
Norfolk Card Show,2026-05-09,2026-05-09,9:00 AM,2:00 PM,Norfolk,NE,Norfolk Senior Center,308 Prospect Ave,true,,,Sports Cards,Free community card show in Norfolk drawing northeast Nebraska collectors.,,,35,
Omaha Summer Card Show,2026-05-16,2026-05-17,9:00 AM,4:00 PM,Omaha,NE,CHI Health Center Omaha,455 N 10th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Summer Omaha show with 140+ dealer tables before baseball season heats up.,,,145,
