title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Des Moines Card Show,2026-01-10,2026-01-11,9:00 AM,4:00 PM,Des Moines,IA,Iowa Events Center,730 Third St,false,$5,,Sports Cards|Trading Cards,One of Iowa's largest card shows held at the Iowa Events Center in Des Moines.,,,150,
Cedar Rapids Card Show,2026-01-17,2026-01-18,9:00 AM,3:00 PM,Cedar Rapids,IA,US Cellular Center,370 1st Ave NE,false,$4,,Sports Cards,Monthly Cedar Rapids show drawing dealers from eastern Iowa and western Illinois.,,,90,
Davenport Quad Cities Card Show,2026-01-31,2026-02-01,9:00 AM,4:00 PM,Davenport,IA,Mississippi Valley Fairgrounds,2815 W Locust St,false,$4,,Sports Cards|Trading Cards,Quad Cities area show drawing dealers from Iowa and Illinois.,,,110,
Des Moines Winter Card Expo,2026-02-07,2026-02-08,9:00 AM,4:00 PM,Des Moines,IA,Iowa State Fairgrounds,3000 E Grand Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Winter expo at the Iowa State Fairgrounds with 140+ dealer tables.,,,145,
Iowa City Card Show,2026-02-21,2026-02-21,9:00 AM,2:00 PM,Iowa City,IA,Coralville Marriott Hotel & Conference Center,300 9th St,false,$3,,Sports Cards|Pokemon,Iowa City area show drawing University of Iowa area collectors.,,,55,
Des Moines Spring Card Show,2026-03-14,2026-03-15,9:00 AM,4:00 PM,Des Moines,IA,Iowa Events Center,730 Third St,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring Des Moines show with 150+ dealer tables at the Iowa Events Center.,,,155,
Cedar Rapids Spring Card Show,2026-03-28,2026-03-29,9:00 AM,3:00 PM,Cedar Rapids,IA,US Cellular Center,370 1st Ave NE,false,$4,,Sports Cards|Trading Cards,Spring Cedar Rapids show with strong baseball and basketball card selection.,,,90,
Sioux City Card Show,2026-04-11,2026-04-11,9:00 AM,2:00 PM,Sioux City,IA,Sioux City Convention Center,801 4th St,false,$3,,Sports Cards,Northwest Iowa card show in Sioux City drawing dealers from the tri-state area.,,,65,
Des Moines Spring Spectacular,2026-04-18,2026-04-19,9:00 AM,4:00 PM,Des Moines,IA,Iowa State Fairgrounds,3000 E Grand Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring spectacular at the Iowa State Fairgrounds with 145 tables.,,,145,
Waterloo Card Show,2026-05-02,2026-05-02,9:00 AM,2:00 PM,Waterloo,IA,Waterloo Center for the Arts,225 Commercial St,true,,,Sports Cards,Free community card show in Waterloo drawing Black Hawk County collectors.,,,45,
Des Moines Summer Card Show,2026-05-16,2026-05-17,9:00 AM,4:00 PM,Des Moines,IA,Iowa Events Center,730 Third St,false,$5,,Sports Cards|Pokemon|Trading Cards,Summer Des Moines show with 150+ dealer tables heading into baseball season.,,,155,
Davenport Summer Card Show,2026-06-06,2026-06-07,9:00 AM,3:00 PM,Davenport,IA,Mississippi Valley Fairgrounds,2815 W Locust St,false,$4,,Sports Cards|Trading Cards,Summer Quad Cities show with strong baseball and modern card selection.,,,110,
Des Moines Summer Spectacular,2026-06-20,2026-06-21,9:00 AM,4:00 PM,Des Moines,IA,Iowa State Fairgrounds,3000 E Grand Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Midsummer Des Moines spectacular drawing dealers from across Iowa and neighboring states.,,,145,
