title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Olathe Sports Collectibles Show,2026-04-18,2026-04-19,9:00 AM,3:00 PM,Olathe,KS,Hampton Inn Olathe,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show: 2 Day Show,2026-04-18,2026-04-19,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Shawnee GAS Station Show Series,2026-04-24,2026-04-26,3:00 PM,5:00 PM,Shawnee,KS,Bed Bath & Beyond Bldg,,false,,,"Sports Cards,Memorabilia",,,,,
Salina Sports Card and Memorabilia Show,2026-04-25,2026-04-25,9:00 AM,3:00 PM,Salina,KS,Saline County 4-H Building,,false,,,"Sports Cards,Memorabilia",,,,,
Kansas Card Show,2026-05-02,2026-05-02,9:00 AM,4:00 PM,Wichita,KS,Hilton Wichita Airport,,false,,,Sports Cards,,,,,
Sports Memorabilia Card Show,2026-05-02,2026-05-02,10:00 AM,4:00 PM,Ottawa,KS,Ottawa Memorial Auditorium,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show,2026-05-09,2026-05-09,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
PokeKon Fest,2026-05-16,2026-05-16,10:00 AM,5:00 PM,Wichita,KS,Holiday Inn Wichita,,false,,,"Pokemon,TCG",,,,,
All American Collectors Expo,2026-05-30,2026-05-30,9:00 AM,5:00 PM,Overland Park,KS,Overland Park Convention Center,,false,,,"Sports Cards,Memorabilia",,,,,
Sports Cards and Collectible Show,2026-05-30,2026-05-30,10:00 AM,6:00 PM,Overland Park,KS,American Legion Post 0370,,false,,,Sports Cards,,,,,
The Johnson County Card Show: 2 Day Show,2026-05-30,2026-05-31,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Kansas Card Show,2026-06-06,2026-06-07,9:00 AM,4:00 PM,Wichita,KS,The Cotillion,,false,,,Sports Cards,,,,,
Northeast Kansas Card Show,2026-06-07,2026-06-07,10:00 AM,5:00 PM,Lawrence,KS,Douglas County 4H Fairgrounds,,false,,,"Sports Cards,Memorabilia",,,,,
Olathe Sports Collectibles Show,2026-06-13,2026-06-14,9:00 AM,3:00 PM,Olathe,KS,Hampton Inn Olathe,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show: 2 Day Show,2026-06-13,2026-06-14,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Vintage Sports Cards,2026-06-25,2026-06-28,10:00 AM,7:00 PM,Topeka,KS,Westridge Mall,,false,,,Sports Cards,,,,,
The Johnson County Card Show,2026-07-11,2026-07-11,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
McPherson Sports Card and Memorabilia Show,2026-07-18,2026-07-18,9:00 AM,3:00 PM,McPherson,KS,McPherson Community Building,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show: 2 Day Show,2026-08-01,2026-08-02,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
Olathe Sports Collectibles Show,2026-08-15,2026-08-16,9:00 AM,3:00 PM,Olathe,KS,Hampton Inn Olathe,,false,,,"Sports Cards,Memorabilia",,,,,
The Johnson County Card Show,2026-08-22,2026-08-22,10:00 AM,4:00 PM,Olathe,KS,Homefield Olathe Training Center,,false,,,"Sports Cards,Pokemon,TCG",,,,,
