title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Denver Sports Card Show,2026-01-10,2026-01-11,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$5,,Sports Cards|Trading Cards,One of Colorado's largest card shows held at the Colorado Convention Center.,,,180,
Colorado Springs Card Show,2026-01-17,2026-01-18,9:00 AM,3:00 PM,Colorado Springs,CO,Broadmoor World Arena,3185 Venetucci Blvd,false,$4,,Sports Cards,Monthly Colorado Springs card show drawing dealers from the Front Range.,,,100,
Denver Winter Card Expo,2026-02-07,2026-02-08,9:00 AM,4:00 PM,Denver,CO,Denver Merchandise Mart,451 E 58th Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Winter expo at the Denver Merchandise Mart with 160+ dealer tables.,,,165,
Fort Collins Card Show,2026-02-14,2026-02-14,9:00 AM,3:00 PM,Fort Collins,CO,Foothills Activity Center,215 N Mason St,false,$3,,Sports Cards,Valentine's Day weekend card show in Fort Collins drawing northern Colorado collectors.,,,60,
Boulder Card Show,2026-02-28,2026-02-28,9:00 AM,2:00 PM,Boulder,CO,Boulder County Fairgrounds,9595 Nelson Rd,true,,,Sports Cards|Pokemon,Free Boulder card show — strong Pokemon and vintage sports card selection.,,,55,
Denver Spring Card Show,2026-03-14,2026-03-15,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring show at the Colorado Convention Center with 180+ dealer tables.,,,185,
Colorado Springs Spring Card Show,2026-03-21,2026-03-22,9:00 AM,3:00 PM,Colorado Springs,CO,Pikes Peak Center,190 S Cascade Ave,false,$4,,Sports Cards|Trading Cards,Spring show in Colorado Springs drawing dealers from the southern Front Range.,,,100,
Aurora Card Show,2026-04-04,2026-04-04,9:00 AM,2:00 PM,Aurora,CO,Aurora Municipal Center,15151 E Alameda Pkwy,true,,,Sports Cards,Free community card show in Aurora drawing Denver east metro collectors.,,,50,
Denver Spring Spectacular,2026-04-11,2026-04-12,9:00 AM,4:00 PM,Denver,CO,Denver Merchandise Mart,451 E 58th Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring spectacular at the Merchandise Mart with 165+ tables.,,,165,
Pueblo Card Show,2026-04-25,2026-04-25,9:00 AM,2:00 PM,Pueblo,CO,Pueblo Convention Center,320 Central Main St,false,$3,,Sports Cards,Southern Colorado card show in Pueblo drawing dealers from Pueblo and Trinidad.,,,65,
Denver Summer Card Show,2026-05-16,2026-05-17,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Summer show at the Colorado Convention Center with 180+ dealers before baseball season peaks.,,,185,
Greeley Card Show,2026-05-23,2026-05-23,9:00 AM,2:00 PM,Greeley,CO,Island Grove Regional Park,501 N 14th Ave,false,$3,,Sports Cards,Weld County card show in Greeley drawing dealers from northeastern Colorado.,,,55,
Denver Summer Card Expo,2026-06-06,2026-06-07,9:00 AM,4:00 PM,Denver,CO,Denver Merchandise Mart,451 E 58th Ave,false,$5,,Sports Cards|Pokemon|Trading Cards,Summer expo at the Merchandise Mart with 165 tables.,,,165,
Colorado Springs Summer Show,2026-06-20,2026-06-21,9:00 AM,3:00 PM,Colorado Springs,CO,Broadmoor World Arena,3185 Venetucci Blvd,false,$4,,Sports Cards|Trading Cards,Summer Colorado Springs show with strong baseball and modern card selection.,,,100,
Lakewood Card Show,2026-07-11,2026-07-11,9:00 AM,2:00 PM,Lakewood,CO,Lakewood Cultural Center,470 S Allison Pkwy,true,,,Sports Cards|Pokemon,Free Lakewood show drawing west Denver metro collectors.,,,50,
Denver Late Summer Card Show,2026-07-18,2026-07-19,9:00 AM,4:00 PM,Denver,CO,Colorado Convention Center,700 14th St,false,$5,,Sports Cards|Pokemon|Trading Cards,Late summer Denver show before football card season with 180+ tables.,,,185,
