title,startDate,endDate,startTimeLabel,endTimeLabel,city,state,venueName,venueAddress,isFree,admissionPrice,admissionNotes,categories,description,websiteUrl,facebookUrl,tableCount,vendorDetails
Kansas City Sports Card & Memorabilia Show,2026-01-10,2026-01-11,9:00 AM,4:00 PM,Kansas City,MO,Overland Park Convention Center,6000 College Blvd,false,$5,,Sports Cards,One of the largest card shows in the Kansas City metro area featuring dealers from across the Midwest.,,,200,Tables available — contact promoter to reserve
St. Louis Card Show,2026-01-17,2026-01-18,9:00 AM,3:00 PM,St. Louis,MO,Westport Flea Market,8230 St Lukes Dr,false,$3,,Sports Cards|Trading Cards,Monthly St. Louis card show with dealers specializing in vintage and modern sports cards.,,,120,
Springfield Sports Card Show,2026-01-24,2026-01-24,9:00 AM,3:00 PM,Springfield,MO,Ozark Empire Fairgrounds,3001 N Grant Ave,false,$2,,Sports Cards,Monthly Springfield show drawing dealers from across southern Missouri.,,,80,
Kansas City Card Show,2026-02-07,2026-02-08,9:00 AM,4:00 PM,Kansas City,MO,KCI Expo Center,11730 NW Ambassador Dr,false,$5,,Sports Cards|Pokemon|Trading Cards,Large Kansas City area show with dealers specializing in all major card categories.,,,180,
St. Louis Mega Card Show,2026-02-14,2026-02-15,9:00 AM,4:00 PM,St. Louis,MO,St. Charles Convention Center,1 Convention Center Plaza,false,$5,,Sports Cards|Trading Cards,Valentines weekend mega show in St. Louis with 150+ dealer tables.,,,150,
Independence Card Show,2026-02-21,2026-02-22,9:00 AM,3:00 PM,Independence,MO,Midwest Genealogy Center,3440 S Lee's Summit Rd,true,,,Sports Cards,Free admission show in Independence with vintage and modern dealers.,,,60,
Columbia Card Show,2026-03-07,2026-03-08,9:00 AM,3:00 PM,Columbia,MO,Boone County Fairgrounds,5212 N Oakland Gravel Rd,false,$3,,Sports Cards|Pokemon,Mid-Missouri show serving collectors in the Columbia and Jefferson City corridor.,,,90,
Kansas City Spring Show,2026-03-14,2026-03-15,9:00 AM,4:00 PM,Kansas City,MO,Overland Park Convention Center,6000 College Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Quarterly Overland Park show — one of the top card shows in the KC metro.,,,200,
St. Louis Spring Card Expo,2026-03-21,2026-03-22,9:00 AM,4:00 PM,St. Louis,MO,America's Center Convention Complex,701 Convention Plaza,false,$5,,Sports Cards|Trading Cards,Spring expo at America's Center drawing 150+ dealers from around the Midwest.,,,160,
Joplin Card Show,2026-04-04,2026-04-05,9:00 AM,3:00 PM,Joplin,MO,Downstream Casino Resort,69300 E 777 Rd,false,$3,,Sports Cards,Joplin area card show serving collectors in the four-state area.,,,70,
Kansas City Card & Collectibles Show,2026-04-11,2026-04-12,9:00 AM,4:00 PM,Kansas City,MO,KCI Expo Center,11730 NW Ambassador Dr,false,$5,,Sports Cards|Pokemon|Trading Cards,Spring Kansas City show with over 175 tables of sports cards and collectibles.,,,175,
Springfield Pokemon & Trading Card Show,2026-04-18,2026-04-19,10:00 AM,4:00 PM,Springfield,MO,University Plaza Hotel,333 John Q Hammons Pkwy,false,$3,,Pokemon|Trading Cards,Family-friendly show focused on Pokemon and trading card games in Springfield.,,,50,
St. Louis Card Show,2026-05-02,2026-05-03,9:00 AM,3:00 PM,St. Louis,MO,Westport Flea Market,8230 St Lukes Dr,false,$3,,Sports Cards|Trading Cards,Monthly St. Louis show with strong vintage baseball and football inventory.,,,120,
Kansas City Summer Card Show,2026-05-16,2026-05-17,9:00 AM,4:00 PM,Kansas City,MO,Overland Park Convention Center,6000 College Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-summer Kansas City show with dealers from across the Midwest.,,,200,
Cape Girardeau Card Show,2026-05-23,2026-05-24,9:00 AM,3:00 PM,Cape Girardeau,MO,Show Me Center,1 Show Me Center Dr,false,$3,,Sports Cards,Southeast Missouri show serving the Cape Girardeau and Sikeston collector community.,,,80,
St. Louis Summer Card Expo,2026-06-06,2026-06-07,9:00 AM,4:00 PM,St. Louis,MO,St. Charles Convention Center,1 Convention Center Plaza,false,$5,,Sports Cards|Trading Cards,Summer expo at St. Charles with over 150 tables of sports cards and collectibles.,,,155,
Kansas City Summer Spectacular,2026-06-20,2026-06-21,9:00 AM,4:00 PM,Kansas City,MO,KCI Expo Center,11730 NW Ambassador Dr,false,$6,,Sports Cards|Pokemon|Trading Cards,Summer spectacular in Kansas City drawing dealers and collectors from five states.,,,190,
Columbia Summer Card Show,2026-07-11,2026-07-12,9:00 AM,3:00 PM,Columbia,MO,Boone County Fairgrounds,5212 N Oakland Gravel Rd,false,$3,,Sports Cards|Pokemon,Mid-summer Columbia show with strong Pokemon and modern sports card dealers.,,,90,
St. Louis Card Show,2026-07-18,2026-07-19,9:00 AM,3:00 PM,St. Louis,MO,Westport Flea Market,8230 St Lukes Dr,false,$3,,Sports Cards|Trading Cards,Monthly St. Louis show drawing 100+ dealers each month.,,,120,
Kansas City Late Summer Show,2026-08-08,2026-08-09,9:00 AM,4:00 PM,Kansas City,MO,Overland Park Convention Center,6000 College Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Late summer Kansas City show before the football card season heats up.,,,200,
Springfield Fall Card Show,2026-08-22,2026-08-23,9:00 AM,3:00 PM,Springfield,MO,Ozark Empire Fairgrounds,3001 N Grant Ave,false,$3,,Sports Cards,Fall warmup show in Springfield drawing dealers from the Ozarks region.,,,85,
St. Louis Fall Card Expo,2026-09-12,2026-09-13,9:00 AM,4:00 PM,St. Louis,MO,America's Center Convention Complex,701 Convention Plaza,false,$5,,Sports Cards|Trading Cards,Fall expo kicking off the football card season with 150+ dealers.,,,160,
Kansas City Fall Card Show,2026-09-19,2026-09-20,9:00 AM,4:00 PM,Kansas City,MO,KCI Expo Center,11730 NW Ambassador Dr,false,$5,,Sports Cards|Pokemon|Trading Cards,Fall Kansas City show with strong football card presence and 175+ tables.,,,175,
Branson Card Show,2026-09-26,2026-09-27,9:00 AM,3:00 PM,Branson,MO,Branson Convention Center,200 Sycamore St,false,$3,,Sports Cards,Seasonal Branson card show drawing collectors from southern Missouri and northern Arkansas.,,,60,
St. Louis Card Show,2026-10-03,2026-10-04,9:00 AM,3:00 PM,St. Louis,MO,Westport Flea Market,8230 St Lukes Dr,false,$3,,Sports Cards|Trading Cards,October St. Louis show with strong football and basketball card dealers.,,,120,
Kansas City Fall Spectacular,2026-10-10,2026-10-11,9:00 AM,4:00 PM,Kansas City,MO,Overland Park Convention Center,6000 College Blvd,false,$6,,Sports Cards|Pokemon|Trading Cards,Flagship fall show at Overland Park Convention Center — one of the biggest in the KC metro.,,,210,
Jefferson City Card Show,2026-10-17,2026-10-18,9:00 AM,3:00 PM,Jefferson City,MO,Capitol Plaza Hotel,415 W McCarty St,false,$3,,Sports Cards,Fall show in Missouri's capital city drawing dealers from mid-Missouri.,,,55,
St. Louis Fall Mega Show,2026-11-07,2026-11-08,9:00 AM,4:00 PM,St. Louis,MO,St. Charles Convention Center,1 Convention Center Plaza,false,$5,,Sports Cards|Trading Cards,Pre-holiday mega show in St. Charles with 150+ tables of sports cards and collectibles.,,,155,
Kansas City Holiday Card Show,2026-11-14,2026-11-15,9:00 AM,4:00 PM,Kansas City,MO,KCI Expo Center,11730 NW Ambassador Dr,false,$5,,Sports Cards|Pokemon|Trading Cards,Pre-Thanksgiving Kansas City holiday show — great for gifts and collection building.,,,180,
Springfield Holiday Card Show,2026-11-21,2026-11-22,9:00 AM,3:00 PM,Springfield,MO,Ozark Empire Fairgrounds,3001 N Grant Ave,false,$3,,Sports Cards,Pre-holiday Springfield show with strong vintage and modern sports card selection.,,,85,
St. Louis Holiday Card Show,2026-12-05,2026-12-06,9:00 AM,3:00 PM,St. Louis,MO,Westport Flea Market,8230 St Lukes Dr,false,$3,,Sports Cards|Trading Cards,December St. Louis holiday show — perfect for collectors and gift-buyers.,,,120,
Kansas City Year-End Card Show,2026-12-12,2026-12-13,9:00 AM,4:00 PM,Kansas City,MO,Overland Park Convention Center,6000 College Blvd,false,$5,,Sports Cards|Pokemon|Trading Cards,Year-end Kansas City show wrapping up 2026 with 200 tables of cards and collectibles.,,,200,
